RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age_Group,Balance_Group,CreditScore_Group,Value_Score,Risk_Score,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Type
1027,15767864,Fulton,628,France,Male,33,6,0.0,2,0,0,184230.23,0,30-40岁,无余额,一般,0.49800279479920206,0.4434782608695652,4,2,0.0,3,3,1,7,中价值
1028,15769948,Palerma,737,Germany,Male,35,0,133377.8,1,0,1,64050.19,0,30-40岁,高余额,良好,0.5688371430452325,0.15217391304347827,10,1,133377.8,1,1,4,6,中价值
1029,15686345,McCaffrey,828,Spain,Male,34,9,0.0,2,1,1,81853.98,0,30-40岁,无余额,优秀,0.4150208808557084,0.14782608695652175,1,2,0.0,4,3,1,8,高价值
1030,15688071,Collins,609,Spain,Male,53,10,0.0,1,1,1,154642.91,0,50-60岁,无余额,一般,0.4469142636586665,0.23043478260869565,0,1,0.0,4,1,1,6,中价值
1031,15681174,Zuev,730,France,Male,39,1,116537.6,1,0,0,145679.6,0,30-40岁,高余额,良好,0.6619674011060201,0.46956521739130436,9,1,116537.6,1,1,3,5,中价值
1032,15667521,Crawford,631,France,Female,22,3,0.0,2,0,0,30781.77,0,<30岁,无余额,一般,0.2688802735100487,0.39565217391304347,7,2,0.0,2,3,1,6,中价值
1033,15750243,Genovese,830,Spain,Male,40,4,0.0,2,0,1,81622.52,0,30-40岁,无余额,优秀,0.41537956015381466,0.17391304347826086,6,2,0.0,2,3,1,6,中价值
1034,15695475,Maclean,645,France,Male,29,1,130131.08,2,0,1,196474.35,0,<30岁,高余额,一般,0.7298341064341198,0.12608695652173915,9,2,130131.08,1,3,4,8,高价值
1035,15689176,Fabro,663,France,Male,46,3,0.0,2,0,1,176276.1,0,40-50岁,无余额,一般,0.49842409234587215,0.2,7,2,0.0,2,3,1,6,中价值
1036,15652955,Price,678,Spain,Male,30,0,0.0,1,1,0,35113.08,0,<30岁,无余额,一般,0.29196571809923577,0.4304347826086956,10,1,0.0,1,1,1,3,低价值
1037,15668958,Chatfield,521,France,Male,30,2,107316.09,1,1,0,64299.82,0,<30岁,高余额,较差,0.4514268326804318,0.4304347826086956,8,1,107316.09,1,1,3,5,中价值
1038,15631054,Volkova,625,France,Female,24,1,0.0,2,1,1,180969.55,0,<30岁,无余额,一般,0.4920527673605233,0.10434782608695653,9,2,0.0,1,3,1,5,中价值
1039,15581479,Archer,523,France,Male,30,1,83181.29,1,1,1,138176.78,0,<30岁,中余额,较差,0.5244748667212975,0.13043478260869565,9,1,83181.29,1,1,2,4,低价值
1040,15577478,Ch'iu,714,France,Female,72,3,0.0,1,1,1,86733.61,0,>60岁,无余额,良好,0.3821053069595417,0.3130434782608696,7,1,0.0,2,1,1,4,低价值
1041,15780870,McKay,580,Spain,Male,67,3,153946.14,1,1,1,7418.92,0,>60岁,超高余额,较差,0.4612668241811507,0.291304347826087,7,1,153946.14,2,1,4,7,中价值
1042,15692317,Craig,722,France,Male,30,5,0.0,2,1,0,166376.54,0,<30岁,无余额,良好,0.5043977234014587,0.4304347826086956,5,2,0.0,3,3,1,7,中价值
1043,15593969,Abramovich,630,Spain,Female,39,7,135483.17,1,1,0,140881.2,1,30-40岁,高余额,一般,0.6496798197158654,0.46956521739130436,3,1,135483.17,3,1,4,8,高价值
1044,15570417,Chien,579,France,Male,35,1,0.0,2,1,0,4460.2,0,30-40岁,无余额,较差,0.2110434927412094,0.45217391304347826,9,2,0.0,1,3,1,5,中价值
1045,15779059,Timms,670,France,Female,38,4,119624.54,2,1,1,110472.12,0,30-40岁,高余额,一般,0.5928991492128328,0.16521739130434784,6,2,119624.54,2,3,3,8,高价值
1046,15785980,Williford,588,Spain,Male,34,6,121132.26,2,1,0,86460.28,0,30-40岁,高余额,较差,0.5303425754068043,0.4478260869565217,4,2,121132.26,3,3,3,9,高价值
1047,15644200,Hamilton,807,Spain,Female,42,1,0.0,1,1,0,16500.66,1,40-50岁,无余额,优秀,0.30957545008398196,0.4826086956521739,9,1,0.0,1,1,1,3,低价值
1048,15793949,Cheng,726,France,Female,48,4,0.0,1,1,0,114020.06,1,40-50岁,无余额,良好,0.42727181509083567,0.508695652173913,6,1,0.0,2,1,1,4,低价值
1049,15645103,Su,812,Germany,Male,25,5,54817.55,1,1,0,131660.31,0,<30岁,中余额,优秀,0.571480255042182,0.408695652173913,5,1,54817.55,3,1,2,6,中价值
1050,15705860,McKenzie,631,Germany,Male,40,3,107949.45,1,1,0,52449.62,1,30-40岁,高余额,一般,0.473484142335235,0.47391304347826085,7,1,107949.45,2,1,3,6,中价值
1051,15623828,Akobundu,682,France,Male,30,4,0.0,1,0,1,161465.31,0,<30岁,无余额,一般,0.4829129543388478,0.13043478260869565,6,1,0.0,2,1,1,4,低价值
1052,15715003,Ko,625,Spain,Female,49,2,80816.45,1,1,1,20018.79,0,40-50岁,中余额,一般,0.3794610172760555,0.21304347826086958,8,1,80816.45,1,1,2,4,低价值
1053,15623471,Marcelo,607,Germany,Male,38,3,98205.77,1,1,0,176318.27,0,30-40岁,中余额,一般,0.635289431576411,0.4652173913043478,7,1,98205.77,2,1,3,6,中价值
1054,15798348,Chukwuebuka,600,Spain,Female,50,6,94684.27,1,1,1,50488.91,0,40-50岁,中余额,较差,0.4384534746396058,0.21739130434782608,4,1,94684.27,3,1,2,6,中价值
1055,15743016,MacDonald,602,Spain,Female,22,7,141604.76,1,1,0,30379.6,0,<30岁,高余额,一般,0.48379831866866013,0.39565217391304347,3,1,141604.76,3,1,4,8,高价值
1056,15769499,Lampungmeiua,545,Spain,Female,74,3,0.0,2,1,1,161326.73,0,>60岁,无余额,较差,0.43435213534617134,0.32173913043478264,7,2,0.0,2,3,1,6,中价值
1057,15798521,Tai,675,Spain,Male,33,3,0.0,2,1,0,45348.08,0,30-40岁,无余额,一般,0.3062599718455296,0.4434782608695652,7,2,0.0,2,3,1,6,中价值
1058,15706534,Enyinnaya,581,France,Female,47,1,122949.14,1,0,0,180251.68,1,40-50岁,高余额,较差,0.671460979566916,0.5043478260869565,9,1,122949.14,1,1,3,5,中价值
1059,15706186,McKenzie,640,Germany,Male,33,8,81677.22,2,0,0,34925.56,0,30-40岁,中余额,一般,0.4084884328930368,0.4434782608695652,2,2,81677.22,4,3,2,9,高价值
1060,15812197,Kline,850,France,Male,38,7,80293.98,1,0,0,126555.74,0,30-40岁,中余额,优秀,0.6178512561829925,0.4652173913043478,3,1,80293.98,3,1,2,6,中价值
1061,15650933,Ma,490,Spain,Female,48,8,155413.06,1,1,0,187921.3,0,40-50岁,超高余额,很差,0.7026045396689173,0.508695652173913,2,1,155413.06,4,1,4,9,高价值
1062,15692991,Wood,710,Spain,Female,38,4,0.0,2,1,1,136390.88,0,30-40岁,无余额,良好,0.4551822480289965,0.16521739130434784,6,2,0.0,2,3,1,6,中价值
1063,15631189,Riggs,613,Germany,Male,38,9,67111.65,1,1,0,78566.64,1,30-40岁,中余额,一般,0.44120161053694135,0.4652173913043478,1,1,67111.65,4,1,2,7,中价值
1064,15762198,Capon,812,France,Male,34,5,103818.43,1,1,1,166038.27,0,30-40岁,高余额,优秀,0.7011699041024617,0.14782608695652175,5,1,103818.43,3,1,3,7,中价值
1065,15699598,Smith,723,France,Female,20,4,0.0,2,1,1,140385.33,0,<30岁,无余额,良好,0.46576238361856515,0.08695652173913043,6,2,0.0,2,3,1,6,中价值
1066,15692744,Davison,512,France,Male,36,4,152169.12,2,0,0,38629.3,1,30-40岁,超高余额,较差,0.4812510998649658,0.4565217391304348,6,2,152169.12,2,3,4,9,高价值
1067,15688963,Ingram,731,France,Female,52,10,0.0,1,1,1,24998.75,1,50-60岁,无余额,良好,0.29549953498251535,0.22608695652173913,0,1,0.0,4,1,1,6,中价值
1068,15599131,Dilke,650,Germany,Male,26,4,214346.96,2,1,0,128815.33,0,<30岁,超高余额,一般,0.7643695528622723,0.41304347826086957,6,2,214346.96,2,3,4,9,高价值
1069,15680303,Gibson,594,France,Male,57,6,0.0,1,1,0,19376.56,1,50-60岁,无余额,较差,0.23871299170260565,0.5478260869565217,4,1,0.0,3,1,1,5,中价值
1070,15628674,Iadanza,844,France,Male,40,7,113348.14,1,1,0,31904.31,1,30-40岁,高余额,优秀,0.526448473737172,0.47391304347826085,3,1,113348.14,3,1,3,7,中价值
1071,15648075,Hebert,686,Germany,Female,47,5,170935.94,1,1,0,173179.79,1,40-50岁,超高余额,一般,0.774415619137995,0.5043478260869565,5,1,170935.94,3,1,4,8,高价值
1072,15586970,Pinto,695,Germany,Male,52,8,103023.26,1,1,1,22485.64,0,50-60岁,高余额,一般,0.4432710268817146,0.22608695652173913,2,1,103023.26,4,1,3,8,高价值
1073,15625698,Dumetochukwu,624,Spain,Female,23,6,0.0,2,0,1,196668.51,0,<30岁,无余额,一般,0.5152491516386898,0.1,4,2,0.0,3,3,1,7,中价值
1074,15790497,Ross,503,Spain,Male,37,6,0.0,2,0,0,136506.86,0,30-40岁,无余额,较差,0.38229740104110266,0.4608695652173913,4,2,0.0,3,3,1,7,中价值
1075,15682618,Jamieson,535,France,Female,31,7,111855.04,2,1,1,36278.89,0,30-40岁,高余额,较差,0.4215713582284007,0.13478260869565217,3,2,111855.04,3,3,3,9,高价值
1076,15762937,Chiganu,743,Germany,Female,32,6,140348.56,2,1,1,163254.39,0,30-40岁,高余额,良好,0.7308799784818971,0.1391304347826087,4,2,140348.56,3,3,4,10,超高价值
1077,15750929,Burgess,702,Spain,Male,39,8,0.0,2,1,0,99654.13,0,30-40岁,无余额,良好,0.3972515215866234,0.46956521739130436,2,2,0.0,4,3,1,8,高价值
1078,15729832,Cheng,658,France,Male,29,3,145512.84,1,1,0,20207.02,0,<30岁,高余额,一般,0.49453412643300304,0.4260869565217391,7,1,145512.84,2,1,4,7,中价值
1079,15633650,Woods,677,Germany,Female,41,8,146720.98,2,1,1,4195.84,0,40-50岁,高余额,一般,0.4791484404598191,0.1782608695652174,2,2,146720.98,4,3,4,11,超高价值
1080,15748856,Liang,664,France,Male,32,10,107209.73,1,1,1,112340.2,0,30-40岁,高余额,一般,0.5737911336402246,0.1391304347826087,0,1,107209.73,4,1,3,8,高价值
1081,15589195,Bluett,766,Germany,Female,38,7,130933.74,1,0,1,2035.94,0,30-40岁,高余额,良好,0.48215106605256747,0.16521739130434784,3,1,130933.74,3,1,4,8,高价值
1082,15699911,Chapman,461,Spain,Female,35,8,0.0,1,1,0,132295.95,0,30-40岁,无余额,很差,0.36115726912508384,0.45217391304347826,2,1,0.0,4,1,1,6,中价值
1083,15663438,Andrejew,688,Spain,Male,36,0,89772.3,1,1,0,177383.68,1,30-40岁,中余额,一般,0.6520305901467229,0.4565217391304348,10,1,89772.3,1,1,2,4,低价值
1084,15692583,Udobata,678,France,Female,32,5,0.0,2,1,0,90284.47,0,30-40岁,无余额,一般,0.37472591488263485,0.4391304347826087,5,2,0.0,3,3,1,7,中价值
1085,15591257,Ejimofor,796,France,Male,24,8,0.0,2,1,0,61349.37,0,<30岁,无余额,良好,0.37296869170516106,0.4043478260869565,2,2,0.0,4,3,1,8,高价值
1086,15646513,Spyer,803,France,Male,42,5,0.0,1,1,0,196466.83,1,40-50岁,无余额,优秀,0.5781230908517454,0.4826086956521739,5,1,0.0,3,1,1,5,中价值
1087,15708063,Walker,712,France,Male,36,2,100749.5,3,0,0,70758.37,1,30-40岁,高余额,良好,0.5180578508484908,0.7565217391304349,8,3,100749.5,1,4,3,8,高价值
1088,15696098,Palermo,498,France,Female,31,10,0.0,2,1,0,13892.57,0,30-40岁,无余额,很差,0.1966043444527632,0.43478260869565216,0,2,0.0,4,3,1,8,高价值
1089,15645517,Philip,850,Spain,Male,22,2,0.0,2,1,1,9684.52,0,<30岁,无余额,优秀,0.31452732622746615,0.09565217391304348,8,2,0.0,1,3,1,5,中价值
1090,15649744,Fallaci,628,France,Female,51,3,123981.31,2,1,1,40546.15,0,50-60岁,高余额,一般,0.4801286007269533,0.22173913043478263,7,2,123981.31,2,3,3,8,高价值
1091,15604304,Perry,539,Germany,Female,34,4,91622.42,1,1,1,136603.42,0,30-40岁,中余额,较差,0.5412192607488095,0.14782608695652175,6,1,91622.42,2,1,2,5,中价值
1092,15784092,Henderson,732,France,Male,36,7,126195.81,1,1,1,133172.48,0,30-40岁,高余额,良好,0.6593097195128901,0.1565217391304348,3,1,126195.81,3,1,3,7,中价值
1093,15585198,Bergamaschi,715,France,Male,41,4,94267.9,1,0,1,152821.12,1,40-50岁,中余额,良好,0.631881989322411,0.1782608695652174,6,1,94267.9,2,1,2,5,中价值
1094,15624347,Fokine,651,France,Male,40,4,0.0,2,1,1,147715.83,0,30-40岁,无余额,一般,0.45134678236842873,0.17391304347826086,6,2,0.0,2,3,1,6,中价值
1095,15621687,Mackay,813,France,Male,34,0,0.0,2,1,0,43169.15,0,30-40岁,无余额,优秀,0.35169733630219785,0.4478260869565217,10,2,0.0,1,3,1,5,中价值
1096,15689081,Wu,692,France,Male,29,4,0.0,1,1,0,76755.99,1,<30岁,无余额,一般,0.359373608318261,0.4260869565217391,6,1,0.0,2,1,1,4,低价值
1097,15813168,Maslova,756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1,30-40岁,高余额,良好,0.5375084582133376,0.46956521739130436,7,3,100717.85,2,4,3,9,高价值
1098,15604295,Wei,543,France,Male,36,6,0.0,2,1,0,176728.28,0,30-40岁,无余额,较差,0.4567494466733125,0.4565217391304348,4,2,0.0,3,3,1,7,中价值
1099,15724127,McLean,790,France,Female,26,4,141581.71,2,0,0,98309.27,0,<30岁,高余额,良好,0.6520128482345806,0.41304347826086957,6,2,141581.71,2,3,4,9,高价值
1100,15673055,Sung,494,Spain,Male,38,7,0.0,2,1,1,6203.66,0,30-40岁,无余额,很差,0.1836587810760508,0.16521739130434784,3,2,0.0,3,3,1,7,中价值
1101,15768201,Paterson,850,France,Female,39,2,148586.64,1,1,1,176791.27,0,30-40岁,高余额,优秀,0.8020845147261446,0.16956521739130437,8,1,148586.64,1,1,4,6,中价值
1102,15782219,Fanucci,703,Spain,Male,29,9,0.0,2,1,0,50679.48,0,<30岁,无余额,良好,0.32413972548897246,0.4260869565217391,1,2,0.0,4,3,1,8,高价值
1103,15746410,Thompson,432,Spain,Male,38,7,0.0,2,1,0,150580.88,0,30-40岁,无余额,很差,0.37835040131626596,0.4652173913043478,3,2,0.0,3,3,1,7,中价值
1104,15780144,Tisdall,512,Germany,Female,32,2,123403.85,2,1,0,80120.19,0,30-40岁,高余额,较差,0.49763008754611476,0.4391304347826087,8,2,123403.85,1,3,3,7,中价值
1105,15590476,Onochie,589,France,Male,28,7,0.0,2,1,0,151645.96,0,<30岁,无余额,较差,0.43535984609491907,0.4217391304347826,3,2,0.0,3,3,1,7,中价值
1106,15624293,Mironova,514,France,Female,46,3,106511.85,1,1,0,55072.32,0,40-50岁,高余额,较差,0.43383229603936796,0.5,7,1,106511.85,2,1,3,6,中价值
1107,15618182,Ndubueze,678,France,Female,38,2,0.0,2,0,0,115068.99,0,30-40岁,无余额,一般,0.41190409278212387,0.4652173913043478,8,2,0.0,1,3,1,5,中价值
1108,15660316,Stephenson,420,Germany,Female,34,1,135549.9,1,0,0,149471.13,1,30-40岁,高余额,很差,0.5885539379711325,0.4478260869565217,9,1,135549.9,1,1,4,6,中价值
1109,15678886,Golubev,679,Germany,Male,38,7,110555.37,2,1,0,46522.68,0,30-40岁,高余额,一般,0.485689121884047,0.4652173913043478,3,2,110555.37,3,3,3,9,高价值
1110,15616330,Liao,595,France,Male,31,4,0.0,2,1,0,189995.86,0,30-40岁,无余额,较差,0.4950045061694319,0.43478260869565216,6,2,0.0,2,3,1,6,中价值
1111,15592229,Mullan,713,France,Female,52,0,185891.54,1,1,1,46369.57,1,50-60岁,超高余额,良好,0.6175658547976867,0.22608695652173913,10,1,185891.54,1,1,4,6,中价值
1112,15798424,Glover,833,Germany,Male,59,1,130854.59,1,1,1,30722.52,1,50-60岁,高余额,优秀,0.5487034261680698,0.2565217391304348,9,1,130854.59,1,1,4,6,中价值
1113,15714750,Northey,690,France,Female,42,3,92578.14,2,0,0,70810.6,0,40-50岁,中余额,一般,0.49734411593996,0.4826086956521739,7,2,92578.14,2,3,2,7,中价值
1114,15648800,Paterson,731,Germany,Female,21,8,132312.06,1,1,0,106663.46,1,<30岁,高余额,良好,0.6289427241732852,0.3913043478260869,2,1,132312.06,4,1,4,9,高价值
1115,15626147,Maclean,608,France,Female,62,8,144976.5,1,0,0,175836.03,1,>60岁,高余额,一般,0.7094842881431123,0.5695652173913044,2,1,144976.5,4,1,4,9,高价值
1116,15626608,Howarde,479,Spain,Male,48,5,87070.23,1,0,1,85646.41,0,40-50岁,中余额,很差,0.43634696838803966,0.20869565217391306,5,1,87070.23,3,1,2,6,中价值
1117,15723250,Teng,519,France,Male,42,8,0.0,2,1,1,101485.72,0,40-50岁,无余额,较差,0.33541077459806606,0.1826086956521739,2,2,0.0,4,3,1,8,高价值
1118,15592583,Colman,731,France,Female,47,1,115414.19,3,0,0,191734.67,1,40-50岁,高余额,良好,0.7296145228819156,0.8043478260869565,9,3,115414.19,1,4,3,8,高价值
1119,15759381,Johnson,617,Spain,Male,61,7,91070.43,1,1,1,101839.77,0,>60岁,中余额,一般,0.5157212141280691,0.2652173913043478,3,1,91070.43,3,1,2,6,中价值
1120,15585241,Butcher,756,Spain,Male,29,2,117412.19,2,1,0,4888.91,0,<30岁,高余额,良好,0.461344230847314,0.4260869565217391,8,2,117412.19,1,3,3,7,中价值
1121,15589358,Stanley,848,Germany,Male,31,4,90018.45,2,1,0,193132.98,0,30-40岁,中余额,优秀,0.7325184469252067,0.43478260869565216,6,2,90018.45,2,3,2,7,中价值
1122,15672704,Jackson,809,France,Female,24,4,0.0,2,1,0,193518.76,0,<30岁,无余额,优秀,0.5758184666331689,0.4043478260869565,6,2,0.0,2,3,1,6,中价值
1123,15789955,Hu,698,Germany,Male,56,1,112414.81,2,0,0,93982.02,1,50-60岁,高余额,一般,0.5665511456562428,0.5434782608695652,9,2,112414.81,1,3,3,7,中价值
1124,15596800,Hill,779,Germany,Male,33,1,158456.76,1,1,1,197000.92,1,30-40岁,超高余额,良好,0.8230769698945332,0.14347826086956522,9,1,158456.76,1,1,4,6,中价值
1125,15627305,Pan,606,Spain,Male,35,7,0.0,1,1,0,106837.06,1,30-40岁,无余额,一般,0.3741439687779319,0.45217391304347826,3,1,0.0,3,1,1,5,中价值
1126,15645316,Han,612,Germany,Female,58,1,149641.53,1,1,1,115161.28,0,50-60岁,高余额,一般,0.627317836096071,0.2521739130434783,9,1,149641.53,1,1,4,6,中价值
1127,15593973,Wilkie,663,Spain,Female,33,8,122528.18,1,1,0,196260.3,0,30-40岁,高余额,一般,0.723744863880504,0.4434782608695652,2,1,122528.18,4,1,3,8,高价值
1128,15647301,Bray,549,Germany,Female,45,3,143734.01,2,1,1,96404.38,0,40-50岁,高余额,较差,0.5675279356088361,0.1956521739130435,7,2,143734.01,2,3,4,9,高价值
1129,15750258,Ann,675,France,Female,32,2,155663.31,1,1,0,97658.66,0,30-40岁,超高余额,一般,0.6328985730794007,0.4391304347826087,8,1,155663.31,1,1,4,6,中价值
1130,15685309,Souter,669,France,Female,35,7,0.0,1,1,1,49108.23,1,30-40岁,无余额,一般,0.3097827618671403,0.15217391304347827,3,1,0.0,3,1,1,5,中价值
1131,15628205,Greco,571,Germany,Female,34,1,101736.66,1,0,1,195651.66,0,30-40岁,高余额,较差,0.6572139265479997,0.14782608695652175,9,1,101736.66,1,1,3,5,中价值
1132,15733974,Mao,500,Spain,Male,37,9,125822.21,1,1,0,111698.0,0,30-40岁,高余额,很差,0.5446188150481036,0.4608695652173913,1,1,125822.21,4,1,3,8,高价值
1133,15762110,Anderson,628,France,Male,37,0,0.0,2,1,1,171707.93,0,30-40岁,无余额,一般,0.47921863851492574,0.16086956521739132,10,2,0.0,1,3,1,5,中价值
1134,15706899,Ma,559,France,Male,34,4,0.0,2,1,1,66721.98,0,30-40岁,无余额,较差,0.2973808509082294,0.14782608695652175,6,2,0.0,2,3,1,6,中价值
1135,15732660,Black,769,France,Female,27,2,0.0,1,1,1,57876.05,0,<30岁,无余额,良好,0.35822910403784125,0.1173913043478261,8,1,0.0,1,1,1,3,低价值
1136,15656121,Medvedeva,733,Germany,Male,31,6,157791.07,2,0,0,177994.81,0,30-40岁,超高余额,良好,0.7772701473329611,0.43478260869565216,4,2,157791.07,3,3,4,10,超高价值
1137,15614220,Benson,750,France,Male,22,5,0.0,2,0,1,105125.65,0,<30岁,无余额,良好,0.42240028666254315,0.09565217391304348,5,2,0.0,3,3,1,7,中价值
1138,15645269,Duncan,583,France,Female,42,4,0.0,2,1,0,17439.66,0,40-50岁,无余额,较差,0.23192517951616157,0.4826086956521739,6,2,0.0,2,3,1,6,中价值
1139,15698510,Onwudiwe,468,Germany,Male,42,9,181627.14,2,1,0,172668.39,0,40-50岁,超高余额,很差,0.7137520031631656,0.4826086956521739,1,2,181627.14,4,3,4,11,超高价值
1140,15569247,Mitchell,727,Spain,Female,57,1,109679.72,1,0,1,753.37,0,50-60岁,高余额,良好,0.4325777268927692,0.24782608695652175,9,1,109679.72,1,1,3,5,中价值
1141,15566251,Ferrari,618,France,Female,37,5,96652.86,1,1,0,98686.4,1,30-40岁,中余额,一般,0.5202438387444768,0.4608695652173913,5,1,96652.86,3,1,2,6,中价值
1142,15716134,Russo,617,France,Male,40,5,190008.32,2,1,1,107047.92,0,30-40岁,超高余额,一般,0.6812677196141854,0.17391304347826086,5,2,190008.32,3,3,4,10,超高价值
1143,15763625,Hazon,793,Spain,Male,41,9,0.0,2,1,0,152153.74,0,40-50岁,无余额,良好,0.5081215447347879,0.4782608695652174,1,2,0.0,4,3,1,8,高价值
1144,15605965,Henderson,630,France,Male,43,9,0.0,2,1,1,34338.04,0,40-50岁,无余额,一般,0.27386193791474794,0.18695652173913047,1,2,0.0,4,3,1,8,高价值
1145,15694821,Hardy,765,Germany,Male,43,4,148962.76,1,0,1,173878.87,1,40-50岁,高余额,良好,0.7683153883454563,0.18695652173913047,6,1,148962.76,2,1,4,7,中价值
1146,15601688,Piccio,546,France,Male,28,8,0.0,1,1,0,159254.29,0,<30岁,无余额,较差,0.43159629963263085,0.4217391304347826,2,1,0.0,4,1,1,6,中价值
1147,15575581,Dickson,614,Germany,Female,30,3,131344.52,2,1,0,54776.64,0,<30岁,高余额,一般,0.5082729272963988,0.4304347826086956,7,2,131344.52,2,3,4,9,高价值
1148,15671209,Holden,593,Germany,Female,29,5,101713.84,3,1,0,134594.99,0,<30岁,高余额,较差,0.5733538023994263,0.7260869565217392,5,3,101713.84,3,4,3,10,超高价值
1149,15616529,Hsieh,613,Spain,Male,34,3,0.0,1,1,1,41724.72,0,30-40岁,无余额,一般,0.27894237453916504,0.14782608695652175,7,1,0.0,2,1,1,4,低价值
1150,15773906,Doherty,655,France,Male,38,4,0.0,2,0,0,110527.71,0,30-40岁,无余额,一般,0.3969742695854776,0.4652173913043478,6,2,0.0,2,3,1,6,中价值
1151,15722993,Page,700,France,Female,27,6,137963.07,1,0,0,8996.79,0,<30岁,高余额,一般,0.4805052856205763,0.4173913043478261,4,1,137963.07,3,1,4,8,高价值
1152,15752463,Samuel,826,Spain,Female,29,4,129938.07,1,0,1,190200.53,0,<30岁,高余额,优秀,0.7839976649257684,0.12608695652173915,6,1,129938.07,2,1,4,7,中价值
1153,15589754,Malloy,652,Germany,Male,45,2,151421.44,1,0,1,115333.43,0,40-50岁,超高余额,一般,0.6445313799607117,0.1956521739130435,8,1,151421.44,1,1,4,6,中价值
1154,15669899,Fitts,755,Germany,Female,45,7,135643.0,1,0,0,143619.52,1,40-50岁,高余额,良好,0.6981599138430756,0.4956521739130435,3,1,135643.0,3,1,4,8,高价值
1155,15766887,Iadanza,538,Spain,Male,39,2,122773.5,2,1,1,58467.08,0,30-40岁,高余额,较差,0.473320721994699,0.16956521739130437,8,2,122773.5,1,3,3,7,中价值
1156,15768006,Wu,729,France,Male,34,3,152303.8,1,1,0,12128.69,0,30-40岁,超高余额,良好,0.5183016421289367,0.4478260869565217,7,1,152303.8,2,1,4,7,中价值
1157,15741295,Yefimova,615,France,Male,49,3,0.0,2,1,1,49872.33,0,40-50岁,无余额,一般,0.29187013143458895,0.21304347826086958,7,2,0.0,2,3,1,6,中价值
1158,15811327,Pan,700,Spain,Male,54,1,79415.67,1,0,1,139735.54,0,50-60岁,中余额,一般,0.5832802573397136,0.2347826086956522,9,1,79415.67,1,1,2,4,低价值
1159,15690007,Ts'ui,434,Germany,Female,58,9,125801.03,2,1,0,60891.8,1,50-60岁,高余额,很差,0.4450787651257539,0.5521739130434783,1,2,125801.03,4,3,3,10,超高价值
1160,15690664,Liang,729,Spain,Male,37,10,0.0,2,1,0,100862.54,0,30-40岁,无余额,良好,0.408593616508216,0.4608695652173913,0,2,0.0,4,3,1,8,高价值
1161,15719348,Tsao,513,France,Male,35,8,0.0,1,1,0,76640.29,1,30-40岁,无余额,较差,0.2960235812043003,0.45217391304347826,2,1,0.0,4,1,1,6,中价值
1162,15781802,Abramov,755,France,Male,41,6,104817.41,1,1,0,126013.58,1,40-50岁,高余额,良好,0.6226056112061578,0.4782608695652174,4,1,104817.41,3,1,3,7,中价值
1163,15752731,Millar,615,France,Female,30,9,0.0,1,1,0,87347.82,0,<30岁,无余额,一般,0.3480854801317,0.4304347826086956,1,1,0.0,4,1,1,6,中价值
1164,15600997,Demuth,747,Germany,Female,32,5,67495.04,2,0,1,77370.37,0,30-40岁,中余额,良好,0.4873124839599259,0.1391304347826087,5,2,67495.04,3,3,2,8,高价值
1165,15750776,Genovese,850,France,Female,36,0,164850.54,1,1,1,62722.44,0,30-40岁,超高余额,优秀,0.656903929364394,0.1565217391304348,10,1,164850.54,1,1,4,6,中价值
1166,15723907,Lawless,712,Germany,Female,49,5,154776.42,2,0,0,196257.68,0,40-50岁,超高余额,良好,0.7924475432006717,0.5130434782608696,5,2,154776.42,3,3,4,10,超高价值
1167,15633419,Brooks,622,Germany,Female,28,1,143124.63,2,1,0,81723.8,0,<30岁,高余额,一般,0.5702994255175944,0.4217391304347826,9,2,143124.63,1,3,4,8,高价值
1168,15702430,Ignatyeva,548,France,Female,35,10,0.0,1,1,1,31299.71,0,30-40岁,无余额,较差,0.24036309507590425,0.15217391304347827,0,1,0.0,4,1,1,6,中价值
1169,15710456,Balmain,607,France,Female,27,2,0.0,2,1,0,63495.86,0,<30岁,无余额,一般,0.309482665418808,0.4173913043478261,8,2,0.0,1,3,1,5,中价值
1170,15650351,Millar,653,France,Female,38,8,102133.38,1,1,1,166520.96,0,30-40岁,高余额,一般,0.6430898898898203,0.16521739130434784,2,1,102133.38,4,1,3,8,高价值
1171,15590820,Ecuyer,699,Spain,Male,26,6,79932.41,1,0,0,150242.44,0,<30岁,中余额,一般,0.599512083300412,0.41304347826086957,4,1,79932.41,3,1,2,6,中价值
1172,15640454,Parkhill,693,Germany,Male,40,0,120711.73,1,0,0,27345.18,1,30-40岁,高余额,一般,0.4780549751793948,0.47391304347826085,10,1,120711.73,1,1,3,5,中价值
1173,15697789,Li Fonti,647,Germany,Female,43,3,122717.53,2,1,1,87000.39,0,40-50岁,高余额,一般,0.5545036531206746,0.18695652173913047,7,2,122717.53,2,3,3,8,高价值
1174,15808182,Beneventi,478,Spain,Female,36,3,92363.3,2,1,0,44912.7,0,30-40岁,中余额,很差,0.3833297622637541,0.4565217391304348,7,2,92363.3,2,3,2,7,中价值
